"","SpeciesID","Body_Size"
"1","Malthinus punctatus",5.5
"2","Malthodes lobatus",1
"3","Malthodes pumilus",1.4
"4","Alosterna tabacicolor",7
"5","Corymbia rubra",14.5
"6","Leiopus linnei",7
"7","Paracorymbia maculicornis",9
"8","Stenurella melanura",7.5
"9","Atomaria bella",1.7
"10","Atomaria turgida",1.85
"11","Hylobius abietis",10.25
"12","Magdalis phlegmatica",4.9
"13","Rhyncolus ater",3.75
"14","Ampedus nigrinus",7.5
"15","Corticaria abietorum",2
"16","Corticarina lambiana",1.35
"17","Enicmus rugosus",1.5
"18","Agathidium varians",2.75
"19","Platycerus caraboides",11
"20","Malachius bipustulatus",5.75
"21","Dasytes aeratus",4
"22","Dasytes plumbeus",4.05
"23","Dasytes virens",4.15
"24","Mordellistena variegata",4
"25","Mordellochroa abdominalis",5.25
"26","Chrysanthia viridissima",8.5
"27","Ischnomera sanguinicollis",10
"28","Pyrochroa serraticornis",12
"29","Hylastes attenuatus",2.5
"30","Kissophagus hederae",2
"31","Pityogenes chalcographus",2.15
"32","Scolytus intricatus",3
"33","Xyleborus germanus",1.4
"34","Anaspis flava",3.4
"35","Anaspis frontalis",3.4
"36","Anaspis rufilabris",3
"37","Cypha pulicaria",1
"38","Phloeostiba planus",2.75
"39","Placusa atrata",2
"40","Abdera flexuosa",3.5
"41","Abdera triguttata",2
"42","Abraeus granulum",1.35
"43","Abraeus perpusillus",1.25
"44","Acalles camelus",3.6
"45","Acalles echinatus",2.3
"46","Acmaeops marginatus",8
"47","Acrulia inflata",2.25
"48","Aderus populneus",2.05
"49","Aeletes atomarius",1
"50","Agaricochara latissima",1
"51","Agathidium nigripenne",2.75
"52","Agrilus laticornis",5
"53","Agrilus olivicolor",4
"54","Agrilus sulcicollis",7.25
"55","Allecula morio",7
"56","Allecula rhenana",8
"57","Ampedus balteatus",8.75
"58","Ampedus cinnabarinus",13.25
"59","Ampedus elongatulus",7
"60","Ampedus nigerrimus",10
"61","Ampedus nigroflavus",11
"62","Ampedus pomorum",10.5
"63","Ampedus quercicola",10
"64","Ampedus rufipennis",11
"65","Ampedus sanguineus",14.75
"66","Amphotis marginata",4.25
"67","Anaglyptus mysticus",9.5
"68","Anaspis costai",3
