"","Voucher","SpeciesID","colour_lightness","source"
"1","C0001_Agr_acu","Agriotes acuminatus",70.3,"own photos"
"2","C0002_Agr_obs","Agriotes obscurus",79.06,"own photos"
"3","C0003_Agr_pal","Agriotes pallidulus",85.48,"own photos"
"4","C0004_Agr_pil","Agriotes pilosellus",80.35,"own photos"
"5","C0005_Agr_spu","Agriotes sputator",65.5,"own photos"
"6","C0006_Ama_fam","Amara familiaris",79.37,"own photos"
"7","C0007_Tri_rus","Triplax russica",57.8,"own photos"
"8","C0008_Ant_rub","Anthonomus rubi",64.21,"own photos"
"9","C0009_Aph_pyg","Aphthona pygmaea",62.28,"own photos"
"10","C0010_Aph_ven","Aphthona venustula",76.21,"own photos"
"11","C0011_Ath_bic","Athous bicolor",69.19,"own photos"
"12","C0012_Ath_hae","Athous haemorrhoidalis",70.72,"own photos"
"13","C0013_Ath_vit","Athous vittatus",60.4,"own photos"
"14","C0014_Ant_phy","Anthonomus phyllocola",85.35,"own photos"
"15","C0015_Bra_pin","Brachonyx pineti",83.92,"own photos"
"16","C0016_Bra_inc","Brachyderes incanus",63.37,"own photos"
"17","C0017_Bra_aen","Brassicogethes aeneus",62.08,"own photos"
"18","C0018_Bra_cor","Brassicogethes coracinus",78,"own photos"
"19","C0019_Byr_pil","Byrrhus pilula",84.21,"own photos"
"20","C0020_Byt_och","Byturus ochraceus",100.61,"own photos"
"21","C0021_Byt_tom","Byturus tomentosus",118.4,"own photos"
"22","C0022_Cas_neb","Cassida nebulosa",68.71,"own photos"
"23","C0023_Ceu_ass","Ceutorhynchus assimilis",110.28,"own photos"
"24","C0024_Ceu_nap","Ceutorhynchus napi",104.78,"own photos"
"25","C0025_Ceu_pal","Ceutorhynchus pallidactylus",103.84,"own photos"
"26","C0026_Ceu_typ","Ceutorhynchus typhae",83.89,"own photos"
"27","C0027_Cha_con","Chaetocnema concinna",69.62,"own photos"
"28","C0028_Cha_gre","Charagmus gressorius",89.92,"own photos"
"29","C0029_Cim_att","Cimberis attelaboides",73.45,"own photos"
"30","C0030_Cim_att","Cimberis attelaboides",61.74,"own photos"
"31","C0031_Cre_aur","Crepidodera aurea",69.09,"own photos"
"32","C0032_Cur_nuc","Curculio nucum",68.34,"own photos"
"33","C0033_Cur_nuc","Curculio nucum",81.26,"own photos"
"34","C0034_Ect_ate","Ectinus aterrimus",55.37,"own photos"
"35","C0035_Eus_lim","Eusphalerum limbatum",75.52,"own photos"
"36","C0036_Exo_ara","Exomias araneiformis",89.35,"own photos"
"37","C0037_Fab_nig","Fabogethes nigrescens",61.82,"own photos"
"38","C0038_Har_lae","Harpalus laevipes",67.55,"own photos"
"39","C0039_Hem_hir","Hemicrepidius hirtus",50.23,"own photos"
"40","C0040_Hyp_pos","Hypera postica",85.04,"own photos"
"41","C0041_Hyp_pos","Hypera postica",76.18,"own photos"
"42","C0042_Las_oli","Lasiorhynchites olivaceus",58.62,"own photos"
"43","C0043_Lei_def","Leiosoma deflexum",69.96,"own photos"
"44","C0044_Lon_lur","Longitarsus luridus",56.41,"own photos"
"45","C0045_Lon_mel","Longitarsus melanocephalus",78.05,"own photos"
"46","C0046_Not_par","Nothodes parvulus",85.86,"own photos"
"47","C0048_Orc_fag","Orchestes fagi",73.6,"own photos"
"48","C0049_Oti_coe","Otiorhynchus coecus",61.2,"own photos"
"49","C0050_Oti_ten","Otiorhynchus tenebricosus",58.27,"own photos"
"50","C0051_Oti_ten","Otiorhynchus tenebricosus",47.25,"own photos"
"51","C0052_Oul_duf","Oulema duftschmidi",47.25,"own photos"
"52","C0053_Oul_mel","Oulema melanopus",54.18,"own photos"
"53","C0054_Oul_obs","Oulema obscura",41.38,"own photos"
"54","C0055_Oxy_cer","Oxystoma cerdo",55.78,"own photos"
"55","C0056_Phy_arb","Phyllobius arborator",95.4,"own photos"
"56","C0057_Phy_bet","Phyllobius betulinus",85.73,"own photos"
"57","C0058_Phy_obl","Phyllobius oblongus",64.26,"own photos"
"58","C0059_Phy_obl","Phyllobius oblongus",51.81,"own photos"
"59","C0060_Phy_pom","Phyllobius pomaceus",117.52,"own photos"
"60","C0061_Phy_hor","Phyllopertha horticola",62.15,"own photos"
"61","C0062_Phy_chr","Phyllotreta christinae",61.28,"own photos"
"62","C0063_Phy_nig","Phyllotreta nigripes",40.23,"own photos"
"63","C0064_Phy_vit","Phyllotreta vittula",56.66,"own photos"
"64","C0065_Pol_aer","Polydrusus aeratus",73.84,"own photos"
"65","C0066_Pol_for","Polydrusus formosus",65.72,"own photos"
"66","C0067_Pol_imp","Polydrusus impar",60.98,"own photos"
"67","C0068_Pol_imp","Polydrusus impar",117.63,"own photos"
"68","C0069_Pol_pte","Polydrusus pterygomalis",79.44,"own photos"
"69","C0070_Pol_ter","Polydrusus tereticollis",108.85,"own photos"
"70","C0071_Pol_ter","Polydrusus tereticollis",88.01,"own photos"
"71","C0072_Pro_ful","Protapion fulvipes",48.44,"own photos"
"72","C0073_Psy_chr","Psylliodes chrysocephala",47.04,"own photos"
"73","C0074_Rha_pul","Rhamphus pulicarius",64.51,"own photos"
"74","C0075_Sci_asp","Sciaphilus asperatus",68.62,"own photos"
"75","C0076_Sel_aen","Selatosomus aeneus",41.2,"own photos"
"76","C0077_Sel_cru","Selatosomus cruciatus",53.6,"own photos"
"77","C0078_Ser_bru","Serica brunnea",76.46,"own photos"
"78","C0079_Sit_his","Sitona hispidulus",96.29,"own photos"
"79","C0080_Sit_hum","Sitona humeralis",91.43,"own photos"
"80","C0081_Sit_lin","Sitona lineatus",82.65,"own photos"
"81","C0082_Sit_mac","Sitona macularius",105.1,"own photos"
"82","C0083_Ste_fra","Stereonychus fraxini",67.92,"own photos"
"83","C0084_Sti_ato","Stilbus atomarius",38.32,"own photos"
"84","C0085_Str_cap","Strophosoma capitatum",86.7,"own photos"
"85","C0086_Str_mel","Strophosoma melanogrammum",78.64,"own photos"
"86","C0087_Tyc_pic","Tychius picirostris",59.36,"own photos"
"87","C0088_Aga_var","Agathidium varians",38.97,"own photos"
"88","C0089_Eni_rug","Enicmus rugosus",66.05,"own photos"
"89","C0090_Eni_rug","Enicmus rugosus",54.18,"own photos"
"90","C0091_Dia_ger","Diachromus germanus",49.86,"own photos"
"91","C0092_Oti_sin","Otiorhynchus singularis",93.26,"own photos"
"92","C0093_Tac_lat","Tachinus laticollis",52.34,"own photos"
"93","C0094_Mal_fac","Malthinus facialis",92.5,"own photos"
"94","C0095_Mal_fac","Malthinus facialis",80.31,"own photos"
"95","C0096_Ana_lur","Anaspis lurida",75.01,"own photos"
"96","C0097_Lag_hir","Lagria hirta",94.68,"own photos"
"97","C0098_Neu_rut","Neuraphes ruthenus",87.62,"own photos"
"98","C0099_Ama_ova","Amara ovata",33.24,"own photos"
"99","C0100_Cha_hor","Chaetocnema hortensis",62.83,"own photos"
"100","C0101_Dep_bet","Deporaus betulae",65.08,"own photos"
"101","C0102_Ceu_ery","Ceutorhynchus erysimi",56.46,"own photos"
"102","C0103_Ana_mac","Anaspis maculata",100.14,"own photos"
"103","C0104_Lil_mer","Lilioceris merdigera",53.01,"own photos"
"104","C0105_Phy_gla","Phyllobius glaucus",82.23,"own photos"
"105","C0106_Ama_com","Amara communis",34.03,"own photos"
"106","C0107_Ama_aen","Amara aenea",52.94,"own photos"
"107","C0108_Ama_sim","Amara similata",35.28,"own photos"
"108","C0109_Eut_vic","Eutrichapion viciae",72.37,"own photos"
"109","C0110_Har_lat","Harpalus latus",31.35,"own photos"
"110","C0111_Cur_nuc","Curculio nucum",82.16,"own photos"
"111","C0112_Ceu_con","Ceutorhynchus contractus",64.76,"own photos"
"112","C0113_Oli_aen","Olibrus aeneus",63.96,"own photos"
"113","C0114_Sel_aen","Selatosomus aeneus",36.71,"own photos"
"114","C0115_Har_ruf","Harpalus rufipalpis",35.1,"own photos"
"115","C0116_Ath_hae","Athous haemorrhoidalis",30.88,"own photos"
"116","C0117_Cid_aer","Cidnopus aeruginosus",57.84,"own photos"
"117","C0118_Eus_pri","Eusphalerum primulae",61.29,"own photos"
"118","C0119_Eus_rec","Eusphalerum rectangulum",74.78,"own photos"
"119","C0120_Bra_urt","Brachypterus urticae",59.62,"own photos"
"120","C0121_Eus_lut","Eusphalerum luteum",101.09,"own photos"
"121","C0122_Eus_lon","Eusphalerum longipenne",80.59,"own photos"
"122","C0123_Eus_lon","Eusphalerum longipenne",63.39,"own photos"
"123","C0124_Cte_sul","Cteniopus sulphuripes",61.15,"own photos"
"124","C0125_Ama_con","Amara convexior",48.71,"own photos"
"125","C0126_Ama_con","Amara convexior",44.39,"own photos"
"126","C0127_Eus_sor","Eusphalerum sorbi",74.62,"own photos"
"127","C0128_Eus_sor","Eusphalerum sorbi",102.27,"own photos"
"128","C0129_Byr_pil","Byrrhus pilula",43.48,"own photos"
"129","C0130_Eus_min","Eusphalerum minutum",63.67,"own photos"
"130","C0131_Eus_sem","Eusphalerum semicoleoptratum",68.37,"own photos"
"131","C0132_Eus_atr","Eusphalerum atrum",51.99,"own photos"
"132","C0133_Coe_rub","Coeliodinus rubicundus",63.67,"own photos"
"133","C0134_Ceu_sul","Ceutorhynchus sulcicollis",71,"own photos"
"134","C0135_Bra_kel","Bradybatus kellneri",75.8,"own photos"
"135","C0136_Cha_gri","Charagmus griseus",103.49,"own photos"
"136","C0137_Phy_atr","Phyllotreta atra",53.91,"own photos"
"137","C0138_Phy_arg","Phyllobius argentatus",99.37,"own photos"
"138","C0139_Isc_vir","Ischnopterapion virens",56.34,"own photos"
"139","C0140_Isc_vir","Ischnopterapion virens",62,"own photos"
"140","C0141_Sit_obs","Sitona obsoletus",70.85,"own photos"
"141","C0142_Ors_cer","Orsodacne cerasi",54.05,"own photos"
"142","C0143_Ceu_obs","Ceutorhynchus obstrictus",63.05,"own photos"
"143","C0144_Ceu_obs","Ceutorhynchus obstrictus",55.51,"own photos"
"144","C0145_Hyp_nig","Hypera nigrirostris",59.87,"own photos"
"145","C0146_Cio_tub","Cionus tuberculosus",47.68,"own photos"
"146","C0147_Hyp_mel","Hypera meles",77.81,"own photos"
"147","C0148_Hyp_mel","Hypera meles",55.86,"own photos"
"148","C0149_Bra_kel","Bradybatus kellneri",62.29,"own photos"
"149","C0150_Gas_pol","Gastrophysa polygoni",71.02,"own photos"
"150","C0151_Bra_fal","Bradybatus fallax",67.1,"own photos"
"151","C0152_Bra_fal","Bradybatus fallax",74.08,"own photos"
"152","C0153_Aph_eup","Aphthona euphorbiae",59.65,"own photos"
"153","C0154_Phy_und","Phyllotreta undulata",68.7,"own photos"
"154","C0155_Lon_pra","Longitarsus pratensis",86.53,"own photos"
"155","C0156_Cha_man","Chaetocnema mannerheimii",60.38,"own photos"
"156","C0157_Cha_pic","Chaetocnema picipes",60,"own photos"
"157","C0158_Pyr_vib","Pyrrhalta viburni",68.57,"own photos"
"158","C0159_Sit_mac","Sitona macularius",81.94,"own photos"
"159","C0160_Ceu_pal","Ceutorhynchus pallidactylus",62.46,"own photos"
"160","C0161_Cas_neb","Cassida nebulosa",64.66,"own photos"
"161","C0162_Ceu_ass","Ceutorhynchus assimilis",61.68,"own photos"
"162","C0163_Tyc_pic","Tychius picirostris",48.77,"own photos"
"163","C0164_Ect_ate","Ectinus aterrimus",43.95,"own photos"
"164","C0165_Ste_fra","Stereonychus fraxini",64.85,"own photos"
"165","C0166_Phy_vit","Phyllotreta vittula",65.37,"own photos"
"166","C0167_Str_bic","Strigocis bicornis",38.38,"own photos"
"167","C0168_Str_bic","Strigocis bicornis",43.35,"own photos"
"168","C0169_Har_ruf","Harpalus rufipes",52.18,"own photos"
"169","C0170_Cur_gla","Curculio glandium",64.08,"own photos"
"170","C0171_Neu_pli","Neuraphes plicicollis",80.06,"own photos"
"171","C0172_Mel_den","Meligethes denticulatus",52.72,"own photos"
"172","C0173_Pol_mol","Polydrusus mollis",79.76,"own photos"
"173","C0174_Pro_ato","Proteinus atomarius",64.3,"own photos"
"174","C0175_Eus_sig","Eusphalerum signatum",100.46,"own photos"
"175","C0176_Car_pus","Carpelimus pusillus",83.72,"own photos"
"176","C0177_Car_cor","Carpelimus corticinus",62.86,"own photos"
"177","C0178_Ath_obl","Atheta oblita",75.54,"own photos"
"178","C0179_Eus_ten","Eusphalerum tenenbaumi",78.61,"own photos"
"179","C0180_Lag_atr","Lagria atripes",70.18,"own photos"
"180","C0181_Arc_pyr","Archarius pyrrhoceras",48.65,"own photos"
"181","C0182_Tac_mar","Tachinus marginellus",55.87,"own photos"
"182","C0183_Har_sig","Harpalus signaticornis",53.85,"own photos"
"183","C0184_Har_aff","Harpalus affinis",66.6,"own photos"
"184","C0185_Har_dis","Harpalus distinguendus",50.11,"own photos"
"185","C0186_Har_lut","Harpalus luteicornis",67.23,"own photos"
"186","C0187_Bra_har","Bradycellus harpalinus",73.67,"own photos"
"187","C0188_Ama_ple","Amara plebeja",63.49,"own photos"
"188","C0189_Ama_cur","Amara curta",61.37,"own photos"
"189","C0190_Ana_glo","Anacaena globulus",64.77,"own photos"
"190","C0191_Pro_bra","Proteinus brachypterus",66.75,"own photos"
"191","C0192_Eus_str","Eusphalerum stramineum",122.39,"own photos"
"192","C0193_Phy_nig","Phyllodrepa nigra",79.95,"own photos"
"193","C0194_Car_elo","Carpelimus elongatulus",56.54,"own photos"
"194","C0195_Dex_cor","Dexiogyia corticina",68.19,"own photos"
"195","C0196_Mal_hol","Malthodes holdhausi",107.03,"own photos"
"196","C0197_Das_vir","Dasytes virens",58.74,"own photos"
"197","C0198_Agr_ust","Agriotes ustulatus",47.27,"own photos"
"198","C0199_Lim_min","Limonius minutus",62.39,"own photos"
"199","C0200_Hem_nig","Hemicrepidius niger",50.04,"own photos"
"200","C0201_Con_och","Contacyphon ochraceus",81.46,"own photos"
"201","C0202_Mel_atr","Meligethes atratus",41.05,"own photos"
"202","C0203_Bra_sub","Brassicogethes subaeneus",97.81,"own photos"
"203","C0204_Lam_mor","Lamiogethes morosus",56.4,"own photos"
"204","C0205_Bra_gla","Brachypterus glaber",68.12,"own photos"
"205","C0206_Ort_rog","Orthoperus rogeri",56.66,"own photos"
"206","C0207_Ern_ang","Ernobius angusticollis",71.77,"own photos"
"207","C0208_Pti_fur","Ptinus fur",76.39,"own photos"
"208","C0209_Tet_gab","Tetropium gabrieli",32.48,"own photos"
"209","C0210_Gon_qui","Gonioctena quinquepunctata",62.95,"own photos"
"210","C0211_Cre_aur","Crepidodera aurata",84.88,"own photos"
"211","C0212_Cha_ari","Chaetocnema aridula",28.23,"own photos"
"212","C0213_Pro_apr","Protapion apricans",65.79,"own photos"
"213","C0214_Bet_sim","Betulapion simile",66.45,"own photos"
"214","C0215_Phy_mac","Phyllobius maculicornis",97.96,"own photos"
"215","C0216_Phy_pyr","Phyllobius pyri",85.98,"own photos"
"216","C0217_Pol_cer","Polydrusus cervinus",68.69,"own photos"
"217","C0218_Cur_ven","Curculio venosus",83.67,"own photos"
"218","C0219_Arc_sal","Archarius salicivorus",49.52,"own photos"
"219","C0220_Rhi_cas","Rhinoncus castor",79.45,"own photos"
"220","C0221_Coe_tra","Coeliodes transversealbofasciatus",83.16,"own photos"
"221","C0222_Par_pol","Parethelcus pollinarius",65.69,"own photos"
"222","C0223_Pti_fur","Ptinus fur",72.55,"own photos"
"223","C0224_Phy_obl","Phyllobius oblongus",59.05,"own photos"
"224","C0225_Phy_obl","Phyllobius oblongus",93.99,"own photos"
"225","C0226_Oma_fon","Omalisus fontisbellaquaei",108.59,"own photos"
"226","C0227_Osp_bip","Osphya bipunctata",111.56,"own photos"
"227","C0228_Osp_bip","Osphya bipunctata",90.75,"own photos"
"228","C0229_Ath_vit","Athous vittatus",78.19,"own photos"
"229","C0230_Pti_sub","Ptinus subpilosus",75.35,"own photos"
"230","C0231_Eup_inf","Euplectus infirmus",95.86,"own photos"
"231","C0232_Cur_gla","Curculio glandium",91.35,"own photos"
"232","C0233_Pte_sut","Pteryx suturalis",64.47,"own photos"
"233","C0234_Pte_sut","Pteryx suturalis",96.02,"own photos"
"234","C0235_Mal_lob","Malthodes lobatus",84.38,"own photos"
"235","C0236_Apl_imp","Aplocnemus impressus",49.54,"own photos"
"236","C0237_Epu_lon","Epuraea longula",58.37,"own photos"
"237",NA,"Agrilus viridis",111.48,"coleonet.de (Lompe, 2002)"
"238",NA,"Ampedus cinnabarinus",89.86,"coleonet.de (Lompe, 2002)"
"239",NA,"Anomognathus cuspidatus",68.84,"coleonet.de (Lompe, 2002)"
"240",NA,"Atomaria affinis",88.27,"coleonet.de (Lompe, 2002)"
"241",NA,"Bolitochara pulchra",100.25,"coleonet.de (Lompe, 2002)"
"242",NA,"Crypturgus subcribrosus",90.89,"coleonet.de (Lompe, 2002)"
"243",NA,"Cyclorhipidion bodoanus",77.08,"coleonet.de (Lompe, 2002)"
"244",NA,"Dissoleucas niveirostris",92.58,"coleonet.de (Lompe, 2002)"
"245",NA,"Dorcatoma minor",83.43,"coleonet.de (Lompe, 2002)"
"246",NA,"Elateroides dermestoides",87.05,"coleonet.de (Lompe, 2002)"
"247",NA,"Euplectus karsteni",101.93,"coleonet.de (Lompe, 2002)"
"248",NA,"Euryusa optabilis",88.42,"coleonet.de (Lompe, 2002)"
"249",NA,"Ips acuminatus",97.28,"coleonet.de (Lompe, 2002)"
"250",NA,"Ischnomera cinerascens",74.15,"coleonet.de (Lompe, 2002)"
"251",NA,"Laemophloeus kraussi",84.32,"coleonet.de (Lompe, 2002)"
"252",NA,"Lymexylon navale",88.49,"coleonet.de (Lompe, 2002)"
