"","Name_original","Name_std","ScientificName","Rank","Kingdom","Phylum","Order","Suborder","Infraorder","Family","Genus","Species","Subspecies","FHLCode","Taxonomy_source"
"1","Abax ovalis","Abax ovalis","Abax ovalis (Duftschmid, 1812)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Abax","Abax ovalis",NA,"01-.053-.005-.","FHL"
"2","Abax parallelepipedus","Abax parallelepipedus","Abax parallelepipedus","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Abax","Abax parallelepipedus",NA,"01-.053-.002-.","FHL"
"3","Abax parallelus","Abax parallelus","Abax parallelus (Duftschmid, 1812)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Abax","Abax parallelus",NA,"01-.053-.004-.","FHL"
"4","Abdera affinis","Abdera affinis","Abdera affinis (Paykull, 1799)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Melandryidae","Abdera","Abdera affinis",NA,"80-.007-.001-.","FHL"
"5","Abdera flexuosa","Abdera flexuosa","Abdera flexuosa (Paykull, 1799)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Melandryidae","Abdera","Abdera flexuosa",NA,"80-.007-.002-.","FHL"
"6","Abraeus granulum","Abraeus granulum","Abraeus granulum Erichson, 1839","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Abraeus","Abraeus granulum",NA,"10-.005-.001-.","FHL"
"7","Abraeus parvulus","Abraeus parvulus","Abraeus parvulus Aubé, 1842","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Abraeus","Abraeus parvulus",NA,"10-.005-.002-.","FHL"
"8","Abraeus perpusillus","Abraeus perpusillus","Abraeus perpusillus (Marsham, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Abraeus","Abraeus perpusillus",NA,"10-.005-.003-.","FHL"
"9","Acalles spec.","Acalles","Acalles Schoenherr, 1825","GENUS","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles",NA,NA,"93-.135-.000-.","FHL"
"10","Acalles camelus","Acalles camelus","Acalles camelus (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles camelus",NA,"93-.135-.007-.","FHL"
"11","Acalles echinatus","Acalles echinatus","Acalles echinatus (Germar, 1824)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles echinatus",NA,"93-.135-.012-.","FHL"
"12","Acalles commutatus","Acalles fallax","Acalles fallax Boheman, 1844","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles fallax",NA,"93-.135-.013-.","FHL"
"13","Acalles fallax","Acalles fallax","Acalles fallax Boheman, 1844","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles fallax",NA,"93-.135-.013-.","FHL"
"14","Acalles lemur","Acalles lemur","Acalles lemur (Germar, 1824)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles lemur",NA,"93-.135-.011-.","FHL"
"15","Acalles ptinoides","Acalles ptinoides","Acalles ptinoides (Marsham, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles ptinoides",NA,"93-.135-.015-.","FHL"
"16","Acallocrates denticollis","Acallocrates denticollis","Acallocrates denticollis (Germar, 1824)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acallocrates","Acallocrates denticollis",NA,"93-.136-.001-.","FHL"
"17","Acalyptus carpini","Acalyptus carpini","Acalyptus carpini (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalyptus","Acalyptus carpini",NA,"93-.101-.001-.","FHL"
"18","Acanthocinus aedilis","Acanthocinus aedilis","Acanthocinus aedilis (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acanthocinus","Acanthocinus aedilis",NA,"87-.079-.001-.","FHL"
"19","Acanthocinus griseus","Acanthocinus griseus","Acanthocinus griseus (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acanthocinus","Acanthocinus griseus",NA,"87-.079-.003-.","FHL"
"20","Acanthocinus reticulatus","Acanthocinus reticulatus","Acanthocinus reticulatus (Razoumowsky, 1789)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acanthocinus","Acanthocinus reticulatus",NA,"87-.079-.002-.","FHL"
"21","Acidota crenata","Acidota crenata","Acidota crenata (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acidota","Acidota crenata",NA,"23-.030-.001-.","FHL"
"22","Acidota cruentata","Acidota cruentata","Acidota cruentata (Mannerheim, 1830)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acidota","Acidota cruentata",NA,"23-.030-.003-.","FHL"
"23","Acilius canaliculatus","Acilius canaliculatus","Acilius canaliculatus (Nicolai, 1822)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Dytiscidae","Acilius","Acilius canaliculatus",NA,"04-.030-.002-.","FHL"
"24","Acmaeoderella flavofasciata","Acmaeoderella flavofasciata","Acmaeoderella flavofasciata (Piller & Mitterpacher, 1783)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Acmaeoderella","Acmaeoderella flavofasciata",NA,"38-.0011.001-.","FHL"
"25","Acmaeops marginatus","Acmaeops marginatus","Acmaeops marginatus (Fabricius, 1781)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acmaeops","Acmaeops marginatus",NA,"87-.020-.003-.","FHL"
"26","Acmaeops pratensis","Acmaeops pratensis","Acmaeops pratensis (Laicharting, 1784)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acmaeops","Acmaeops pratensis",NA,"87-.020-.002-.","FHL"
"27","Acmaeops septentrionis","Acmaeops septentrionis","Acmaeops septentrionis (C. G. Thomson, 1866)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acmaeops","Acmaeops septentrionis",NA,"87-.020-.001-.","FHL"
"28","Acritus minutus","Acritus minutus","Acritus minutus (Herbst, 1791)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Acritus","Acritus minutus",NA,"10-.007-.002-.","FHL"
"29","Acrossus depressus","Acrossus depressus","Acrossus depressus (Kugelann, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Scarabeiformia","Scarabaeidae","Acrossus","Acrossus depressus",NA,"85-.018b.002-.","FHL"
"30","Aphodius luridus","Acrossus luridus","Acrossus luridus (Fabricius, 1775)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Scarabeiformia","Scarabaeidae","Acrossus","Acrossus luridus",NA,"85-.018b.003-.","FHL"
"31","Aphodius rufipes","Acrossus rufipes","Acrossus rufipes (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Scarabeiformia","Scarabaeidae","Acrossus","Acrossus rufipes",NA,"85-.018b.004-.","FHL"
"32","Acrotona spec.","Acrotona","Acrotona Thomson, 1859","GENUS","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona",NA,NA,"23-.1881.000-.","FHL"
"33","Acrotona exigua","Acrotona exigua","Acrotona exigua (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona exigua",NA,"23-.1881.001-.","FHL"
"34","Acrotona muscorum","Acrotona muscorum","Acrotona muscorum (C. N. F. Brisout de Barneville, 1860)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona muscorum",NA,"23-.1881.010-.","FHL"
"35","Acrotona parvula","Acrotona parvula","Acrotona parvula (Mannerheim, 1830)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona parvula",NA,"23-.1881.013-.","FHL"
