"","species"
"1","Abdera affinis"
"2","Abdera flexuosa"
"3","Abdera triguttata"
"4","Abraeus granulum"
"5","Abraeus parvulus"
"6","Abraeus perpusillus"
"7","Acalles aubei"
"8","Acalles camelus"
"9","Acalles commutatus"
"10","Acalles echinatus"
"11","Acalles lemur"
"12","Acalles ptinoides"
"13","Acalles roboris"
"14","Acallocrates denticollis"
"15","Acanthocinus aedilis"
"16","Acanthocinus griseus"
"17","Acanthocinus reticulatus"
"18","Acanthoderes clavipes"
"19","Acmaeoderella flavofasciata"
"20","Acmaeops marginatus"
"21","Acmaeops pratensis"
"22","Acmaeops septentrionis"
"23","Acritus minutus"
"24","Acrulia inflata"
"25","Aderus populneus"
"26","Aeletes atomarius"
"27","Aesalus scarabaeoides"
"28","Agaricochara latissima"
"29","Agathidium nigripenne"
"30","Agathidium pallidum"
"31","Agrilus angustulus"
"32","Agrilus ater"
"33","Agrilus auricollis"
"34","Agrilus betuleti"
"35","Agrilus biguttatus"
"36","Agrilus convexicollis"
"37","Agrilus cuprescens"
"38","Agrilus cyanescens"
"39","Agrilus derasofasciatus"
"40","Agrilus graminis"
"41","Agrilus hastulifer"
"42","Agrilus integerrimus"
"43","Agrilus laticornis"
"44","Agrilus mendax"
"45","Agrilus obscuricollis"
"46","Agrilus olivicolor"
"47","Agrilus roscidus"
"48","Agrilus sinuatus"
"49","Agrilus subauratus"
"50","Agrilus sulcicollis"
"51","Agrilus viridis"
"52","Akimerus schaefferi"
"53","Aleochara moerens"
"54","Allandrus undulatus"
"55","Allecula morio"
"56","Allecula rhenana"
"57","Alosterna tabacicolor"
"58","Ampedus aethiops"
"59","Ampedus auripes"
"60","Ampedus balteatus"
"61","Ampedus brunnicornis"
"62","Ampedus cardinalis"
"63","Ampedus cinnabarinus"
"64","Ampedus elegantulus"
"65","Ampedus elongatulus"
"66","Ampedus erythrogonus"
"67","Ampedus forticornis"
"68","Ampedus hjorti"
"69","Ampedus nigerrimus"
"70","Ampedus nigrinus"
"71","Ampedus nigroflavus"
"72","Ampedus pomonae"
"73","Ampedus pomorum"
"74","Ampedus praeustus"
"75","Ampedus quercicola"
"76","Ampedus rufipennis"
"77","Ampedus sanguineus"
"78","Ampedus sanguinolentus"
"79","Ampedus sinuatus"
"80","Ampedus triangulum"
"81","Ampedus tristis"
"82","Amphotis marginata"
"83","Anaesthetis testacea"
"84","Anaglyptus mysticus"
"85","Anaspis bohemica"
"86","Anaspis costai"
"87","Anaspis flava"
"88","Anaspis frontalis"
"89","Anaspis humeralis"
"90","Anaspis lurida"
"91","Anaspis maculata"
"92","Anaspis marginicollis"
