Missing_SpeciesID,Similar_Species,Source,Comments
Oxypoda recondita,Oxypoda mutata,FHL,
Micridium halidaii,Ptiliolum caledonicum,FHL,
Euplectus tholini,Euplectus punctatus,FHL,
Euthiconus conicicollis,Stenichnus bicolor,FHL,
Euthiconus conicicollis,Stenichnus godarti,FHL,
Euthiconus conicicollis,Neuraphes parallelus,FHL,
Euthiconus conicicollis,Neuraphes carinatoides,FHL,
Euthiconus conicicollis,Neuraphes ruthenus,FHL,
Euthiconus conicicollis,Neuraphes plicicollis,FHL,
Euthiconus conicicollis,Scydmoraphes minutus,FHL,
Euthiconus conicicollis,Microscydmus minimus,FHL,
Euthiconus conicicollis,Microscydmus nanus,FHL,
Euthiconus conicicollis,Euconnus pragensis,FHL,
Orthoperus nigrescens,Orthoperus corticalis,FHL,
Orthoperus nigrescens,Orthoperus atomus,FHL,
Orthoperus nigrescens,Orthoperus corticalis,FHL,
Orthoperus nigrescens,Orthoperus brunnipes,FHL,
Orthoperus nigrescens,Orthoperus rogeri,FHL,
Ptinella microscopica,Ptinella tenella,FHL,
Tachyusida gracilis,Silusa rubiginosa,FHL,
Tachyusida gracilis,Euryusa castanoptera,FHL,
Tachyusida gracilis,Leptusa fumida,FHL,
Tachyusida gracilis,Leptusa norvegica,FHL,
Tachyusida gracilis,Leptusa pulchella,FHL,
Tachyusida gracilis,Leptusa ruficollis,FHL,
Atheta pilicornis,Atheta lativentris,FHL,
Atheta pilicornis,Atheta euryptera,FHL,
Atheta pilicornis,Atheta picipes,FHL,
Atheta pilicornis,Atheta basicornis,FHL,
Atheta pilicornis,Atheta oblita,FHL,
Corticaria alleni,Corticaria lateritia,FHL,
Corticaria alleni,Corticaria orbicollis,FHL,
Corticaria pineti,Corticaria rubripes,FHL,
Corticaria pineti,Corticaria longicornis,FHL,
Corticaria pineti,Corticaria longicollis,FHL,
Corticaria pineti,Corticaria orbicollis,FHL,
Corticaria pineti,Corticaria lateritia,FHL,
Corticaria pineti,Corticaria interstitialis,FHL,
Corticaria pineti,Corticaria polypori,FHL,
Corticaria pineti,Corticaria lapponica,FHL,
Corticaria pineti,Corticaria bella,FHL,
Kyklioacalles navieresi,Kyklioacalles roboris,FHL,
Xylostiba bosnica,Xylostiba monilicornis,FHL,
Atomaria affinis,Atomaria alpina,FHL,
Batrisodes unisexualis,Batrisodes adnexus,FHL,
Bisnius subuliformis,Gabrius splendidulus,FHL,
Bisnius subuliformis,Gabrius exspectatus,FHL,
Bolitochara pulchra,Bolitochara lucida,FHL,
Corticaria inconspicua,Corticaria longicollis,FHL,
Cypha pulicaria,Oligota granaria,FHL,
Cypha pulicaria,Holobus apicatus,FHL,
Euryusa optabilis,Euryusa castanoptera,FHL,
Ischnomera cinerascens,Ischnomera caerulea,FHL,
Ischnomera cinerascens,Ischnomera cyanea,FHL,
